gender,education,age,country,results_count,effective_sample_size,vaccine_accept_yes,vaccine_accept_no,vaccine_accept_dontknow,alreadytaken
all,Graduate School,all,JM,780,542.333,0.340300183,0.294471779,0.365228038,0
all,College/University,all,JM,1827,1113.296,0.309268974,0.376408773,0.314322253,0
all,Secondary School,all,JM,1725,1211.571,0.306308923,0.327227302,0.366463775,0
all,Primary School,all,JM,134,101.535,0.310119329,0.297205872,0.392674798,0
all,Less Than Primary School,all,JP,95,42.375,0.556998255,0.295382157,0.147619588,0
all,Primary School,all,JP,139,27.366,0.530769952,0.107763039,0.361467009,0
all,Primary School,all,KE,220,132.313,0.804514529,0.083182792,0.112302679,0
all,Secondary School,all,JP,18287,6353.432,0.565959444,0.103484074,0.329155695,0.001400786
all,College/University,all,JP,37830,14120.894,0.575237001,0.106322821,0.31682976,0.001610418
all,Graduate School,all,JP,4777,1595.496,0.6055867,0.113537559,0.276407533,0.004468208
