gender,age,country,results_count,effective_sample_size,vaccine_accept_yes,vaccine_accept_no,vaccine_accept_dontknow,education
all,all,EC,5693,3153.517,0.723647253,0.112203054,0.164149694,Secondary School
all,all,IQ,5426,2254.08,0.650955167,0.170612103,0.17843273,Secondary School
all,all,AZ,4042,2569.259,0.290402091,0.420296344,0.289301565,Secondary School
all,all,KR,6225,3034.329,0.780786108,0.098215499,0.120998393,Secondary School
all,all,AU,5676,4333.903,0.734250646,0.107589388,0.158159966,Secondary School
all,all,IN,61567,18418.841,0.723992112,0.109744683,0.146081992,Secondary School
all,all,KE,6409,3154.716,0.712296427,0.160501031,0.127202542,Secondary School
all,all,VN,64560,20921.982,0.821734294,0.063559964,0.113279386,Secondary School
all,all,US,58557,30062.776,0.514046483,0.210754983,0.206835318,Secondary School
all,all,NP,5760,1530.181,0.762334046,0.092363247,0.145302707,Secondary School
all,all,UY,5520,3178.062,0.56194254,0.177610489,0.260446971,Secondary School
all,all,MY,60270,34981.545,0.690983829,0.098051125,0.20599273,Secondary School
all,all,EG,60076,22213.89,0.572859417,0.198307242,0.227051423,Secondary School
all,all,KZ,5786,3034.063,0.270236284,0.467051013,0.262712703,Secondary School
all,all,CL,5544,3930.316,0.611569761,0.168992658,0.219437581,Secondary School
all,all,MZ,6145,3106.949,0.614398326,0.113055439,0.272546236,Secondary School
all,all,BO,5503,3071.536,0.684192389,0.13662375,0.179183862,Secondary School
all,all,PT,5754,3208.95,0.628871763,0.077179398,0.293948839,Secondary School
all,all,DE,63643,35298.313,0.589912939,0.193943026,0.199101336,Secondary School
all,all,KH,4519,1179.341,0.734783172,0.096170682,0.169046146,Secondary School
all,all,GB,61405,24498.612,0.684827307,0.101012696,0.13586922,Secondary School
all,all,ZA,6317,3681.357,0.605185952,0.198957909,0.195856139,Secondary School
all,all,SD,5659,2228.404,0.652092847,0.163865501,0.184041652,Secondary School
all,all,NG,57617,25363.786,0.575496745,0.237273472,0.180591116,Secondary School
all,all,NL,6554,4526.501,0.588023909,0.162130486,0.249845605,Secondary School
all,all,EE,4410,1791.132,0.50642822,0.225502315,0.268069465,Secondary School
all,all,UA,5641,2502.848,0.363722004,0.338125268,0.298152728,Secondary School
all,all,UG,6395,3152.749,0.669055878,0.199323063,0.131621059,Secondary School
all,all,CA,5574,4118.962,0.65833865,0.144529539,0.197131812,Secondary School
all,all,CM,5892,3658.49,0.350517378,0.421813489,0.227669133,Secondary School
all,all,LK,4884,1486.387,0.656452536,0.15263205,0.190915414,Secondary School
all,all,AE,5350,2835.333,0.658885975,0.139946189,0.201167836,Secondary School
all,all,TZ,4622,1689.545,0.646949666,0.222671632,0.130378702,Secondary School
all,all,HN,5489,3550.677,0.700506068,0.107069193,0.192424739,Secondary School
all,all,DZ,5645,2545.295,0.420817441,0.29683627,0.282346288,College/University
all,all,GH,5558,2548.178,0.557046075,0.246218611,0.196735314,College/University
all,all,AO,5597,2664.304,0.575135068,0.12340115,0.301463782,College/University
